"Part Number","Customer PT","Total IN (pcs)","Total OUT (pcs)","Net Mutasi (pcs)"
"45107-BZ010","PT. TOYOTA MOTOR MANUFACTURING INDONESIA",450,380,70
"45107-BZ010","PT. TOYOTA ASTRA MOTOR",150,120,30
"45102-BZ020","PT. ASTRA DAIHATSU MOTOR",600,550,50
"45110-BZ030","PT. SUZUKI INDOMOBIL MOTOR",200,180,20
"45115-BZ040","PT. HONDA PRECISION PARTS MANUFACTURING",350,300,50
"45120-BZ050","PT. MITSUBISHI MOTORS KRAMA YUDHA INDONESIA",120,120,0
"45125-BZ060","PT. HYUNDAI MOTOR MANUFACTURING INDONESIA",280,200,80
"45130-BZ070","PT. ISUZU ASTRA MOTOR INDONESIA",180,150,30
"45135-BZ080","PT. KAWASAKI MOTOR INDONESIA",90,80,10
"45140-BZ090","PT. YAMAHA INDONESIA MOTOR MFG",500,420,80
